zona_censal_residencia;n;criterio
13301061003;7;No
13302011008;7;No
13303011002;7;No
13401061003;7;No
13402021001;7;No
13404081001;7;No
13501011002;7;No
13501011007;7;No
13501141004;7;No
13503061001;7;No
13602011006;7;No
13604031004;7;No
13604041005;7;No
13605031001;7;No
13101061001;8;No
13101081004;8;No
13101111018;8;No
13101181002;8;No
13101201001;8;No
13101211002;8;No
13102011001;8;No
13102031006;8;No
13102031007;8;No
13102041006;8;No
13103061001;8;No
13103061004;8;No
13103081001;8;No
13104031004;8;No
13104041004;8;No
13104051004;8;No
13104061003;8;No
13105091004;8;No
13106031001;8;No
13106061004;8;No
13106081002;8;No
13106081006;8;No
13106091001;8;No
13106111002;8;No
13106121001;8;No
13107041002;8;No
13107061001;8;No
13108011002;8;No
13108011003;8;No
13108021001;8;No
13108021004;8;No
13109061003;8;No
13110011001;8;No
13110021005;8;No
13110091003;8;No
13110121003;8;No
13110151004;8;No
13110161006;8;No
13110181004;8;No
13110201004;8;No
13112071005;8;No
13112081007;8;No
13113011001;8;No
13113011004;8;No
13114021004;8;No
13114101002;8;No
13114111001;8;No
13114121007;8;No
13116011005;8;No
13116051002;8;No
13117021005;8;No
13117031003;8;No
13117031005;8;No
13117041002;8;No
13117051003;8;No
13117061003;8;No
13117071004;8;No
13118021003;8;No
13118051004;8;No
13119031004;8;No
13119181002;8;No
13119181003;8;No
13120011009;8;No
13120111001;8;No
13121021004;8;No
13121031004;8;No
13121041004;8;No
13121061001;8;No
13121071002;8;No
13122011004;8;No
13122041001;8;No
13122041004;8;No
13122071002;8;No
13122071004;8;No
13122101003;8;No
13123011005;8;No
13123011006;8;No
13123071002;8;No
13124041001;8;No
13124041003;8;No
13124051004;8;No
13124071001;8;No
13125021003;8;No
13126021002;8;No
13126021003;8;No
13126031002;8;No
13127061001;8;No
13127061002;8;No
13128051002;8;No
13128061001;8;No
13128091003;8;No
13128101002;8;No
13129051004;8;No
13129071002;8;No
13130061004;8;No
13131041003;8;No
13131071004;8;No
13132011005;8;No
13132021007;8;No
13201031005;8;No
13201161005;8;No
13302041001;8;No
13401041004;8;No
13401141002;8;No
13404012032;8;No
13404081002;8;No
13501021005;8;No
13503061002;8;No
13602011008;8;No
13101161002;9;No
13101281002;9;No
13102031001;9;No
13103011001;9;No
13103031001;9;No
13103041002;9;No
13104051001;9;No
13104091002;9;No
13105051003;9;No
13106031002;9;No
13109041003;9;No
13110141004;9;No
13110141007;9;No
13111011003;9;No
13112031001;9;No
13112031005;9;No
13112041005;9;No
13112061002;9;No
13112061003;9;No
13112081006;9;No
13113011002;9;No
13113031004;9;No
13113041004;9;No
13114121006;9;No
13115021001;9;No
13115041002;9;No
13116061001;9;No
13118031006;9;No
13118051002;9;No
13118061001;9;No
13119011003;9;No
13119111002;9;No
13120061005;9;No
13120071005;9;No
13120071006;9;No
13120101005;9;No
13120111004;9;No
13122031011;9;No
13122081001;9;No
13122081004;9;No
13122091004;9;No
13122101001;9;No
13122101002;9;No
13123031003;9;No
13123041005;9;No
13124031002;9;No
13124041004;9;No
13124091002;9;No
13125021019;9;No
13126021005;9;No
13126091003;9;No
13127051003;9;No
13127061005;9;No
13127091002;9;No
13128021004;9;No
13129021003;9;No
13129031001;9;No
13130011001;9;No
13130031003;9;No
13132021004;9;No
13201051011;9;No
13201061001;9;No
13301011010;9;No
13301031001;9;No
13401031002;9;No
13401111002;9;No
13401131004;9;No
13402011002;9;No
13403051001;9;No
13501141001;9;No
13602011001;9;No
13603021004;9;No
13604041002;9;No
13605021003;9;No
13605021004;9;No
13101041002;10;No
13101081002;10;No
13101091002;10;No
13101151002;10;No
13101171003;10;No
13101181001;10;No
13102021003;10;No
13102041004;10;No
13103031002;10;No
13104031005;10;No
13104071002;10;No
13104081003;10;No
13105011001;10;No
13105081001;10;No
13106031003;10;No
13106051001;10;No
13106071003;10;No
13107021001;10;No
13107041001;10;No
13108031004;10;No
13108031005;10;No
13108051003;10;No
13109021005;10;No
13109041004;10;No
13109061002;10;No
13110011002;10;No
13110031005;10;No
13110051001;10;No
13110161001;10;No
13110161005;10;No
13111061002;10;No
13111081001;10;No
13112081004;10;No
13114011001;10;No
13114091004;10;No
13114111005;10;No
13114151002;10;No
13117011003;10;No
13117031006;10;No
13117041001;10;No
13117051001;10;No
13118061003;10;No
13118061005;10;No
13119121002;10;No
13119231002;10;No
