ïagno;rbd;dgv_rbd;nom_rbd;let_rbd;num_rbd;cod_com_rbd;nom_com_rbd;cod_depe;rural_rbd;ens_01;ens_02;ens_03;ens_04;ens_05;ens_06;ens_07;ens_08;ens_09
2004;7217;6;"ESCUELA RURAL ESTRELLA DE CHILE""""";G;289;10510;PAILLACO;2;1;110;;;;;;;;
2004;7218;4;"ESCUELA RURAL LA LUMA""""";G;290;10510;PAILLACO;2;1;110;;;;;;;;
2004;7220;6;"ESCUELA RURAL LA PEÃA""""";G;292;10510;PAILLACO;2;1;110;;;;;;;;
2004;7221;4;"ESCUELA RURAL PICHI-QUEMA""""";G;293;10510;PAILLACO;2;1;110;;;;;;;;
2004;7225;7;"ESCUELA RURAL EDUVIGIS SCHULZ DE MOHR""""";G;299;10510;PAILLACO;2;1;110;;;;;;;;
2004;7227;3;"ESCUELA RURAL EL ESFUERZO""""";G;301;10510;PAILLACO;2;1;110;;;;;;;;
2004;7230;3;"ESCUELA RURAL SANTA MARIA""""";G;1129;10510;PAILLACO;2;1;110;;;;;;;;
2004;7231;1;"ESCUELA PARTICULAR N.95 ALEMANA""""";[NULL];95;10510;PAILLACO;3;0;10;110;;;;;;;
2004;7233;8;"ESCUELA PARTICULAR N.96 COTRILLA CHICO""""";[NULL];96;10510;PAILLACO;3;1;110;;;;;;;;
2004;7234;6;"ESCUELA PARTICULAR N.97 SAN LUIS""""";[NULL];97;10510;PAILLACO;3;1;10;110;;;;;;;
2004;7236;2;"LICEO VICENTE PEREZ ROSALES""""";B;14;10512;RIO BUENO;2;0;310;360;361;710;;;;;
2004;7237;0;"ESCUELA RIO BUENO""""";D;303;10512;RIO BUENO;2;0;10;110;212;;;;;;
2004;7238;9;"ESCUELA PATRICIO LYNCH""""";D;304;10512;RIO BUENO;2;0;10;110;212;;;;;;
2004;7239;7;"ESCUELA RURAL SAN JOSE DE FILUCO""""";G;306;10512;RIO BUENO;2;1;110;;;;;;;;
2004;7240;0;"ESCUELA RURAL CRUCERO""""";E;344;10512;RIO BUENO;2;1;10;110;;;;;;;
2004;7241;9;"ESCUELA RURAL SAN PEDRO""""";F;322;10512;RIO BUENO;2;1;10;110;;;;;;;
2004;7242;7;"ESCUELA RURAL VIVANCO""""";F;326;10512;RIO BUENO;2;1;110;;;;;;;;
2004;7243;5;"ESCUELA RURAL CARIMALLIN BAJO""""";F;327;10512;RIO BUENO;2;1;10;110;;;;;;;
2004;7244;3;"ESCUELA RURAL COLONIA DIUMEN""""";F;335;10512;RIO BUENO;2;1;10;110;212;;;;;;
2004;7245;1;"ESCUELA RURAL MARIA TRAUTMANN TAUSCHEK""""";G;305;10512;RIO BUENO;2;1;110;;;;;;;;
2004;7247;8;"ESCUELA RURAL EL ROBLE""""";G;307;10512;RIO BUENO;2;1;110;;;;;;;;
2004;7248;6;"ESCUELA RURAL CURACO""""";G;308;10512;RIO BUENO;2;1;110;;;;;;;;
2004;7249;4;"ESCUELA RURAL TIQUECO""""";G;309;10512;RIO BUENO;2;1;110;;;;;;;;
